Molecule,SMILES,zbtb11_100uM,zbtb11_30uM,zbtb11_10uM,zbtb11_3uM,zbtb11_1uM,zbtb11_300nM,zbtb11_100nM,zbtb11_30nM,zbtb11_10nM,zbtb11_3nM,ikzf1_100uM,ikzf1_30uM,ikzf1_10uM,ikzf1_3uM,ikzf1_1uM,ikzf1_300nM,ikzf1_100nM,ikzf1_30nM,ikzf1_10nM,ikzf1_3nM
JWJ-01-237,O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC(Cl)=C5C(F)(F)F)CC4)=C3,66.10169492,74.09200969,76.39225182,90.85956416,102.1186441,100.968523,101.2106538,97.57869249,96.91283293,97.27602906,40.58842298,46.71782901,49.75734269,57.86831013,69.18672018,77.88543888,86.08037079,94.22492401,96.34082856,97.80181027
JWJ-01-237-BP,O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC=C5C(F)(F)F)CC4)=C3,89.2251816,84.50363196,87.77239709,94.97578692,97.57869249,98.062954,92.43341404,95.88377724,100.7869249,97.45762712,53.61970814,52.79685637,53.80442997,60.9246167,62.78862785,76.79390082,80.5890947,92.94866413,95.76987019,93.33490067
JWJ-01-238,O=C(N(C1CCC(NC1=O)=O)C2=O)C=C2NC3=CC=CC(C4CCN(CCC(C=C5)=CC=C5C(F)(F)F)CC4)=C3,54.96368039,71.42857143,86.56174334,98.36561743,104.3583535,95.64164649,102.905569,101.5738499,97.15496368,98.84987893,48.58184017,50.31150817,54.35859544,66.63420041,73.06587852,82.36914138,84.40108146,94.30888848,95.83704176,99.69101076
JWJ-01-245,O=C(N1C2CCC(NC2=O)=O)C=C(NC3=CC=C(C4=CN(CC(C=C5)=CC(Cl)=C5C(F)(F)F)N=N4)C=C3)C1=O,56.90072639,68.28087167,76.63438257,96.61016949,92.67554479,92.49394673,89.46731235,93.58353511,89.58837772,97.09443099,61.71388268,73.63683689,79.02735562,83.84691599,84.41787436,84.95524694,85.71092714,96.12252095,92.74714941,95.95459202
JWJ-01-248,O=C(N1C2CCC(NC2=O)=O)C=C(NC3=CC=C(C4=CN(CCC5=CC(Cl)=C(C(F)(F)F)C=C5)N=N4)C=C3)C1=O,60.27083731,73.24051116,86.973107,109.6700362,100.5149723,98.41693687,102.2315468,104.7110433,94.41159641,97.27255388,54.64669901,73.71440624,82.42143008,88.05737186,87.51740139,89.94726851,88.74920903,95.48196583,99.8692259,98.51929973
JWJ-01-251,O=C(N1)CCC(N(C(C(NC2=CC=CC(C(N=N3)=CN3CC4=CC=C(C(F)(F)F)C(Cl)=C4)=C2)=C5)=O)C5=O)C1=O,50,66.10169492,80.14527845,86.07748184,87.59079903,93.82566586,101.0895884,97.03389831,95.82324455,96.73123487,45.56844548,57.65028475,63.58995992,65.88483442,69.25964986,78.69225902,82.89390424,93.27146172,94.89137313,97.37186248
JWJ-01-252,CC(NCCC1=CC=CC=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,69.2351707,87.354568,93.07648293,98.79839786,100.7057028,100.3242418,96.31890139,96.70036239,103.5666603,95.9374404,36.92891795,43.52668213,44.25226745,46.66526049,49.68572031,59.69204809,71.55452436,84.21008226,94.63826197,96.41004008
JWJ-01-254,O=C(N1)CCC(N(C(C(NC2=CC=CC(C(N=N3)=CN3CCC(C=C4Cl)=CC=C4C(F)(F)F)=C2)=C5)=O)C5=O)C1=O,76.67366012,81.44192256,93.83940492,97.84474537,100.5149723,111.3866107,100.7057028,98.22620637,103.7573908,101.8500858,24.31554524,26.31512339,27.59755326,29.33558321,28.01940519,31.7823244,40.11811854,54.42733601,75.45243619,90.45349082
JWJ-01-259,CC(NCCC1=CC=C(C(F)(F)F)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,54.35819187,57.98207133,59.50791532,67.70932672,65.99275224,79.72534808,98.60766737,90.40625596,103.7573908,100.8964333,38.05948112,25.50516769,28.13752373,30.2299093,31.88356887,36.23708078,46.22653449,69.95148703,87.39928285,96.46066231
JWJ-01-260,CC(NCCC1=CC=C(OC)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,74.19416365,85.25653252,91.35990845,98.03547587,105.0925043,100.3242418,105.8554263,101.8500858,99.17985886,106.2368873,27.05758279,33.82408775,38.98755537,37.77262181,40.69183717,47.45834212,59.96203333,75.87428812,86.85931238,93.60894326
JWJ-01-261,CC(NCCC1=CC=C(C)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,73.04978066,78.5809651,92.12283044,99.37058936,94.03013542,97.84474537,104.3295823,98.98912836,100.1335113,103.5666603,27.14195317,32.54165788,34.66779161,36.62518456,40.40497785,46.42902341,54.74794347,76.98797722,86.994305,98.0974478
JWJ-01-265,CC(NCCC1=CC=C(OC)C(Cl)=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,61.98741179,79.34388709,83.15849704,102.6130078,100.3242418,99.94278085,107.3812703,114.8197597,104.1388518,100.1335113,26.43324193,26.36574562,24.16367855,23.63214512,25.31955284,31.36047247,31.98481333,51.65998734,77.47732546,84.75005273
JWJ-01-266,CC(NCCC1=CC=C(Cl)C(C(F)(F)F)=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,30.70761015,33.56856761,33.75929811,37.76463857,57.40987984,56.83768835,65.22983025,88.49895098,100.7057028,105.0925043,27.52053742,28.07506753,23.79726379,26.17382143,28.26519214,34.77696007,45.0912202,70.40155902,87.67121117,93.66013641
JWJ-01-267,CC(NCCC1=CC=CC(Cl)=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,68.28151821,72.28685867,94.98378791,95.5559794,94.22086592,106.0461568,110.2422277,109.2885752,108.5256533,102.4222773,33.30349433,31.43393566,35.39486505,41.3045717,42.49285052,51.19897333,62.93916805,79.6701338,94.9117901,95.56138252
JWJ-01-272,CC(NCCC1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,38.00724447,49.92388052,73.70465641,96.38301223,98.48285999,93.86319492,98.22037902,102.4200745,102.7875479,101.0551735,43.11075551,41.95416413,49.06007146,58.78811404,65.58506888,75.40817377,81.30203671,92.94716912,94.46816601,95.814882
JWJ-01-273,CC(NCCC1=CC=C(C(F)(F)F)C=C1C(F)(F)F)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,48.03401753,54.96351515,71.55231246,84.67636096,92.39330149,99.42779149,96.85547798,99.63777626,99.53278387,102.1050974,29.45347096,33.38271292,36.47223785,40.36979237,47.62621502,58.566302,72.7305855,85.13621636,96.19513123,99.45893704
JWJ-01-274,CC(NCCC1=CC(Cl)=C(Cl)C=C1)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,43.72932962,41.99695522,52.18121686,69.03249514,69.29497611,73.75715261,83.57394089,94.44065305,101.9476088,103.0500289,34.84033494,27.36210024,27.06106961,28.02753638,32.44793358,40.60744813,55.99961975,78.68782331,94.11960422,98.95193808
JWJ-01-275,CC(NCCC1=CC=CC(C(F)(F)F)=C1Cl)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,37.27229776,54.28106462,63.88786813,79.0592682,83.15397134,85.56879626,91.81584335,92.91826343,95.38558455,100.9501811,29.78618903,28.10675497,28.24934843,29.69112673,34.0006179,41.01938479,56.07883834,73.1742096,91.06176673,90.82411097
JWJ-01-276,CC(NCCC1=CC=C(C(F)(F)F)C=C1Cl)(C2=CC=CC(NC3=CC(N(C3=O)C4CCC(NC4=O)=O)=O)=C2)CC,47.66654418,44.62176492,56.80088194,78.63929865,78.11433671,83.94141425,92.60328626,92.39330149,106.4097853,101.737624,47.11921605,25.55591644,28.47116047,34.74527263,41.08275966,53.16359431,72.41371115,85.78580878,97.12991056,102.1048379
JWJ-01-277,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,33.48394929,36.08038845,40.90234691,43.86970596,48.65794443,57.82978149,74.21769625,84.60345293,93.37065012,94.71944969,19.88386555,17.98261944,16.65174717,17.74496368,18.01430688,19.07583595,25.90447823,43.65736376,67.62890845,91.80642146
JWJ-01-279,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCCC4)NCCC5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,46.40663552,40.00209985,49.45141477,54.07107985,59.95065358,67.87757888,74.43960313,86.82870492,100.6352039,99.2703029,25.61473769,20.02402883,17.62114537,19.28714457,20.58470164,25.10212255,39.5835002,68.37805366,89.69963957,98.7505006
JWJ-01-287,O=C(N(C1=O)C2CCC(NC2=O)=O)C(C)=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,50.56218528,74.49817204,89.0529075,89.32882665,98.29619921,97.95130027,98.50313858,97.33048217,101.0553908,98.91701731,49.29114938,66.12735282,87.88946736,94.72967561,98.22186624,97.38886664,98.04565479,98.63836604,99.50340408,95.80296356
JWJ-01-296,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCC(C)(C)C5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,63.18548665,67.8761123,68.35897082,75.39490929,88.84596813,96.01986618,94.36435125,94.98516935,94.84720977,96.64068428,27.92150581,29.13896676,31.670004,38.83059672,53.76051262,74.03283941,87.74529435,97.7092511,96.74809772,99.40728875
JWJ-01-297,O=C(N(C1=O)C2CCC(NC2=O)=O)C(C)=C1NC3=CC(C4(CCC4)NCC(C)(C)C5=CC(Cl)=C(C(F)(F)F)C=C5)=CC=C3,63.39242602,75.60184866,79.32675726,96.01986618,101.3313099,97.67538111,96.5027247,97.88232048,99.53783541,94.22639167,62.17861434,69.88386063,98.35002002,103.4761714,104.6936324,104.3572287,105.5907089,104.8698438,100.6888266,102.4829796
JWJ-01-300,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CC)NCCC4=CC(C(F)(F)F)=C(Cl)C=C4)=CC=C3,22.39007284,42.79066631,60.79714054,72.73401673,82.64769355,82.37793364,94.65200971,97.34960885,97.8216887,97.75424872,34.60152183,31.25350421,36.79615539,38.94273128,50.06007209,66.92030437,85.4865839,92.69523428,97.85342411,100.8329996
JWJ-01-301,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CNCC4=CC=CC=C4)CC)=CC=C3,72.29622472,79.81917317,88.58444337,90.72399752,89.20560425,91.6212299,98.59203534,96.38346332,97.69480295,99.48926772,39.1670004,46.74409291,49.05086103,53.66439728,61.88225871,71.53384061,81.20945134,92.16659992,97.11653985,97.51702042
JWJ-01-303,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C(CC)(CNCC4=CC=C(Cl)C(C(F)(F)F)=C4)CC)=CC=C3,80.50935192,77.95569052,86.85899648,96.31444544,97.62578508,98.86810684,101.8358755,97.90185658,99.69632135,100.8006074,56.5959151,63.29195034,69.06688026,73.29595515,78.55026031,91.50981177,95.99519423,94.93792551,102.2907489,101.0572687
JWJ-01-304,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)CNCC5=CC=C(Cl)C(C(F)(F)F)=C5)=CC=C3,62.63372213,78.71488716,86.44488923,87.61819311,88.92953275,86.65194285,88.44640762,88.65346125,98.86810684,100.6625716,18.32599119,17.86143372,20.31237485,19.12695234,20.98518222,27.55306368,40.73688426,66.01521826,85.63075691,92.83940729
JWJ-01-306,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5)=CC=C3,35.3048287,34.29322903,44.81386566,50.54626383,54.12058268,66.46209873,71.11545724,88.78473159,95.73104937,97.28216887,18.68259722,16.19158425,16.02750556,15.90817559,17.93678495,22.65031846,35.10538327,59.04595695,81.54711296,89.18423055
JWJ-01-308,ClC1=C(C(F)(F)F)C=C(CN(CCC2)C2C3=CC(NC4=CC(N(C4=O)C5CCC(NC5=O)=O)=O)=CC=C3)C=C1,67.39595555,74.43577887,76.64435089,81.26854855,99.5582856,99.07516047,99.90337497,95.76230244,99.42024984,96.7285527,35.67220059,39.86366552,45.21859757,47.02346325,51.03593323,57.30075625,73.522173,85.29109053,92.39122328,93.286198
JWJ-01-310,ClC1=C(C(F)(F)F)C=C(CN2CCCC(C3=CC=C(C=C3)NC(C(N4C5CCC(NC5=O)=O)=O)=CC4=O)C2)C=C1,66.15363379,84.78846021,86.37587135,86.30685348,94.03685555,93.76078404,98.66105321,98.45399959,95.90033819,98.66105321,59.0608732,68.6818514,78.93677004,81.56202921,79.3544249,85.09717934,93.68893662,92.62988321,100.1625871,97.58207664
JWJ-01-318,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(C=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,35.49256914,54.61842353,85.47062143,90.29911582,100.8967204,96.88342635,98.63924249,104.0948141,97.44779582,100.8340127,55.54878049,58.31300813,61.54471545,64.81707317,66.8597561,68.94308943,77.01727642,89.20223577,94.67479675,94.54268293
JWJ-01-322,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC=C(S(=O)(F)=O)C=C5)=CC=C3)=CC2=O)=O)C1=O,31.85552141,64.71436634,88.16705336,94.62594845,101.7119207,98.63924249,100.7085972,98.70195021,96.00551828,98.32570389,33.53150407,70.42682927,86.2754065,96.56504065,92.77947154,98.16056911,102.0731707,105.8841463,104.1260163,101.2144309
JWJ-01-323,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(S(=O)(F)=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,36.24506177,74.81030915,96.88342635,97.76133442,100.5204741,102.2135825,101.1475513,101.4610899,104.0948141,100.6458895,60.68089431,82.61686992,89.3445122,94.79674797,95.16260163,98.85670732,100.1880081,100.0965447,99.10060976,97.74898374
JWJ-01-324,O=C(N1)CCC(N2C(C(NC3=CC(C4(CCC4)NCC5=CC(C=O)=CC=C5)=CC=C3)=CC2=O)=O)C1=O,39.44315545,72.86636985,90.61265442,91.92951652,98.57653477,99.51715056,96.69530319,97.76133442,100.3950586,99.642566,60.39634146,54.11585366,57.23577236,58.52642276,60.18292683,68.62804878,77.08841463,84.79166667,88.55182927,93.81605691
JWJ-01-334,O=C(N(C1=O)C2CCC(N(C)C2=O)=O)C=C1NC3=CC=CC(C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5)=C3,60.15299026,81.53685675,95.27121001,101.7037552,104.8331015,95.44506259,100.4867872,101.1821975,101.3560501,105.5285118,92.38328274,98.52255398,98.87561111,97.79682543,98.51274683,99.22866824,98.11065399,98.16949684,98.37544684,98.99329682
JWJ-01-368,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC(Cl)=CC=C5)=CC=C3,49.89568846,81.1891516,90.57719054,96.48817803,100.6606398,96.31432545,96.48817803,100.6606398,100.8344924,104.4853964,13.0238853,12.20008532,13.16118529,14.10267098,21.85031358,36.8846631,51.67383405,72.00404054,97.88508971,98.49313255
JWJ-01-370,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC(C=C3)=CC=C3C4(CCC4)NCCC5=CC(C(F)(F)F)=C(Cl)C=C5,38.59527121,49.72183588,91.09874826,99.26981919,95.79276773,101.3560501,97.35744089,103.2684284,102.2253129,99.26981919,,,,,,,,,,
JWJ-01-371,O=C(N(C1=O)C2CCC(NC2=O)=O)C=C1NC3=CC(C4(CCC4)NCCC5=CC=C(Cl)C=C5)=CC=C3,43.63699583,64.49930459,80.31988873,80.49374131,84.14464534,92.83727399,96.14047288,95.27121001,95.96662031,97.18358832,,,,,,,,,,
JWJ-01-458,CSC1=CC=C(C2(CCCC2)NC(NC3=CC(C4)=C(C=C3)C(N4C(C(N5)=O)CCC5=O)=O)=O)C=C1,38.11018552,48.29168176,50.46480744,48.41241096,49.90140448,54.931788,57.5878305,65.67668719,77.34717695,94.28950863,15.99214421,15.40095592,14.2085592,15.7416407,17.46510486,18.64748144,21.2126374,28.42713855,46.77401577,73.35744847
JWJ-01-472,O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(NC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31,104.2346796,97.75207537,98.35836209,98.40499953,96.58613935,98.8247365,102.7889189,102.6956441,101.0633336,104.3279545,75.80385956,75.74784898,71.59444892,72.97317093,75.47210458,79.30236666,84.48119122,92.34852369,93.86942641,93.95990504
JWJ-01-522,O=C(C(CC1)N2C(C(NC3=CC(C4(CCC4)N(C)CCC5=CC=C(Cl)C(C(F)(F)F)=C5)=CC=C3)=CC2=O)=O)NC1=O,43.45001218,42.80029237,54.251604,65.21562576,67.89571997,78.69731178,81.21497604,89.01161374,88.28067896,101.1938601,19.23803635,17.52894294,18.44790271,21.56549521,29.81036793,44.6253736,62.36902676,84.14064379,94.7387406,101.4978185
JWJ-01-533,O=C1CCC(N2C(C(C=CC(C(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,98.17181233,104.6544166,95.79330286,97.65880049,96.865964,95.97985263,99.85076019,97.89198769,100.8767839,96.58613935,85.61432837,86.31230639,81.00853515,80.62507809,80.77156731,87.25156076,88.41916596,88.38900642,90.90948259,90.93102512
JWJ-01-534,O=C1CCC(N2C(C(C=CC(NC(NCC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,73.54724373,103.0687436,98.87137394,99.47766067,97.79871281,102.2292697,101.3431583,103.5817554,103.3019308,101.949445,56.14845389,60.12089669,61.5685548,76.81205003,86.27352983,92.10724734,94.98963804,95.22229738,100.4657495,100.2675582
JWJ-01-535,O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,73.59388117,92.80850667,98.8247365,98.8247365,101.949445,99.80412275,101.203246,101.8095327,100.783509,101.529708,31.85278696,33.20565793,32.96007307,36.4068781,41.12038397,48.69042951,56.06228377,70.73705617,88.83278256,92.6975127
JWJ-01-538,O=C1CCC(N2C(C(C=CC(NC(N(C)CC3(CCCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,83.34110624,83.71420576,87.67838821,91.54929577,94.90719149,95.6067531,95.18701614,102.8355564,98.96464882,99.43102323,83.37821361,83.29204348,82.94736298,88.66475082,88.5139531,93.48166084,88.01416637,88.28129376,93.86942641,95.93750942
JWJ-01-539,O=C1N(C2CCC(NC2=O)=O)CC3=CC(CC(N(C)CC4(CCCC4)C5=CC=C(SC)C=C5)=O)=CC=C31,85.54083885,97.68211921,97.08425313,99.84363503,100.8554084,102.740986,105.7303164,102.5110375,102.1891096,103.1548933,96.98769378,99.61532759,99.64827598,99.60297194,99.77183242,99.50412679,99.42175582,99.5988534,99.65239452,99.4711784
JWJ-01-540,O=C1CCC(N2C(C(C=CC(NC(NC3(CCCC3)C4=CC=C(OC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,73.95143488,71.14606328,69.95033113,73.67549669,75.42310522,78.7343635,83.28734364,91.84142752,96.25643856,100.0275938,23.83403898,26.89412036,27.70547437,28.66097758,29.20462595,31.638688,38.74730235,49.80560452,68.38849442,82.89814006
JWJ-01-541,O=C1CCC(N2C(C(C=CC(NC(NC3(CCC3)C4=CC=C(SC)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,74.18138337,66.96100074,71.14606328,69.85835173,79.60816777,80.06806475,80.11405445,93.22111847,95.38263429,99.98160412,21.77888338,21.67180112,22.53257772,23.72283817,24.32002768,25.3620204,30.22190738,38.67728703,57.54435677,76.95095633
BML-01-020-U,O=C1CCC(N2C(C(C=CC(CNC(NC3(CCCC3)C4=CC=C(S(C)=O)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,101.4532745,95.70456218,102.3730684,96.80831494,100.4415011,98.69389257,99.47571744,98.87785136,100.9013981,100.1195732,49.74794484,57.37137774,68.21139685,80.60822721,99.58649775,99.60709049,102.1029308,99.42999292,99.30231792,99.73476549
BML-01-020-L,O=C1CCC(N2C(C(C=CC(CN(C)C(NC3(CCCC3)C4=CC=C(S(C)=O)C=C4)=O)=C5)=C5C2)=O)C(N1)=O,96.25643856,98.60191317,95.1986755,97.68211921,100.8094187,99.52170714,96.07247976,96.34841795,96.07247976,98.60191317,45.07339253,48.52885455,57.7090987,70.82255647,93.12861403,99.66886872,99.66886872,99.3517405,99.75947678,99.31467356
JWJ-01-550,O=C1C2=CC=C(NC(N(CCCC3=CC=C(OC)C=C3)C)=O)C=C2CN1C4CCC(NC4=O)=O,99.56503605,99.08836322,99.50545195,101.1738068,99.44586784,100.4587976,100.697134,100.9950545,100.7567181,101.1142227,76.62078201,78.00390788,77.99293069,81.8129926,83.69009199,87.88337834,91.63757711,97.17008057,100.441283,105.5786077
JWJ-01-552,O=C1CCC(N2C(C(C=CC(NC(N(CC3)CCC3C4=CC=CC(OC)=C4)=O)=C5)=C5C2)=O)C(N1)=O,100.9950545,101.1142227,100.8758863,100.7567181,101.0546386,101.0546386,101.4717273,100.5779658,100.8163022,100.9950545,73.97527937,73.41544271,75.21570177,80.37498079,79.41996531,94.00865003,97.65307691,100.8693934,103.2185119,102.8233331
